"","tempoData.Data","tempoHora.Hora","radGlobalCPM11.radGlobal","tempAmbiente.tempAmbiente"
"1","2013-05-01","00:10:00",0.022805,22.0159
"2","2013-05-01","00:20:00",0.00570125,21.9309
"3","2013-05-01","00:30:00",0.00760167,21.8106
"4","2013-05-01","00:40:00",0.00950208,21.7079
"5","2013-05-01","00:50:00",0.00570125,21.6184
"6","2013-05-01","01:00:00",0.00380083,21.5181
"7","2013-05-01","01:10:00",0.00950208,21.4318
"8","2013-05-01","01:20:00",0.0494108,21.43
"9","2013-05-01","01:30:00",0.0608133,21.416
"10","2013-05-01","01:40:00",0.0342075,21.3456
"11","2013-05-01","01:50:00",0.0532117,21.2992
"12","2013-05-01","02:00:00",0.0342075,21.2873
"13","2013-05-01","02:10:00",0.0399088,21.2649
"14","2013-05-01","02:20:00",0.0798175,21.272
"15","2013-05-01","02:30:00",0.0665146,21.2369
"16","2013-05-01","02:40:00",0.0589129,21.1621
"17","2013-05-01","02:50:00",0.0589129,21.0571
"18","2013-05-01","03:00:00",0.0418092,20.8754
"19","2013-05-01","03:10:00",0.0589129,20.7563
"20","2013-05-01","03:20:00",0.0342075,20.6035
"21","2013-05-01","03:30:00",0.0361079,20.4338
"22","2013-05-01","03:40:00",0.04561,20.3684
"23","2013-05-01","03:50:00",0.0342075,20.3352
"24","2013-05-01","04:00:00",0.00950208,20.1842
"25","2013-05-01","04:10:00",0.00760167,20.0438
"26","2013-05-01","04:20:00",0.0380083,19.9784
"27","2013-05-01","04:30:00",0.0418092,19.8996
"28","2013-05-01","04:40:00",0.0190042,19.7803
"29","2013-05-01","04:50:00",0.0152033,19.7137
"30","2013-05-01","05:00:00",0.00570125,19.6582
"31","2013-05-01","05:10:00",0.00570125,19.7477
"32","2013-05-01","05:20:00",0.0399088,19.9063
"33","2013-05-01","05:30:00",0.0874192,20.0768
"34","2013-05-01","05:40:00",0.0589129,20.1688
"35","2013-05-01","05:50:00",1.21627,20.127
"36","2013-05-01","06:00:00",4.78525,20.0425
"37","2013-05-01","06:10:00",16.3854,19.997
"38","2013-05-01","06:20:00",33.8807,20.1082
"39","2013-05-01","06:30:00",51.1345,20.4151
"40","2013-05-01","06:40:00",62.4534,20.7353
"41","2013-05-01","06:50:00",103.892,21.118
"42","2013-05-01","07:00:00",141.231,21.5749
"43","2013-05-01","07:10:00",143.031,21.7923
"44","2013-05-01","07:20:00",167.294,21.9172
"45","2013-05-01","07:30:00",153.639,22.1071
"46","2013-05-01","07:40:00",88.32,22.0555
"47","2013-05-01","07:50:00",116.401,22.0344
"48","2013-05-01","08:00:00",190.201,22.2529
"49","2013-05-01","08:10:00",361.182,22.91
"50","2013-05-01","08:20:00",291.285,23.3742
"51","2013-05-01","08:30:00",456.792,24.0113
"52","2013-05-01","08:40:00",606.961,24.779
"53","2013-05-01","08:50:00",630.158,25.3167
"54","2013-05-01","09:00:00",657.379,25.7797
"55","2013-05-01","09:10:00",675.806,25.8131
"56","2013-05-01","09:20:00",716.674,26.0934
"57","2013-05-01","09:30:00",729.595,26.3736
"58","2013-05-01","09:40:00",864.464,26.605
"59","2013-05-01","09:50:00",864.428,26.5996
"60","2013-05-01","10:00:00",598.546,26.6974
"61","2013-05-01","10:10:00",619.896,26.6423
"62","2013-05-01","10:20:00",434.534,26.3921
"63","2013-05-01","10:30:00",444.147,26.0821
"64","2013-05-01","10:40:00",611.298,26.5376
"65","2013-05-01","10:50:00",499.574,26.7013
"66","2013-05-01","11:00:00",451.271,26.9597
"67","2013-05-01","11:10:00",600.732,27.0998
"68","2013-05-01","11:20:00",393.86,26.7899
"69","2013-05-01","11:30:00",383.894,26.7042
"70","2013-05-01","11:40:00",444.595,26.5735
"71","2013-05-01","11:50:00",573.795,26.9944
"72","2013-05-01","12:00:00",481.786,27.3239
"73","2013-05-01","12:10:00",444.208,27.2227
"74","2013-05-01","12:20:00",404.487,26.7372
"75","2013-05-01","12:30:00",384.495,26.8996
"76","2013-05-01","12:40:00",370.044,26.9185
"77","2013-05-01","12:50:00",413.757,26.8626
"78","2013-05-01","13:00:00",394.12,27.1019
"79","2013-05-01","13:10:00",261.032,27.0337
"80","2013-05-01","13:20:00",349.143,27.0734
"81","2013-05-01","13:30:00",783.603,27.5574
"82","2013-05-01","13:40:00",443.424,27.8677
"83","2013-05-01","13:50:00",385.563,27.7891
"84","2013-05-01","14:00:00",310.859,27.4302
"85","2013-05-01","14:10:00",281.898,27.0257
